id,brand,model,year,color,"<script type=""application/ld+json"">{""@context"": ""https://schema.org/"",""@type"": ""Product"", ""name"": """", ""image"": [""arraywithimagekey""],""description"": ""arraywithdescriptonkey"", ""sku"": ""arraywithskukey"", ""mpn"": ""arraywithmpnkey"", ""brand"": { ""@type"": ""Thing"", ""name"": ""arraywiththingkey"" }, ""review"": { ""@type"": ""Review"", ""reviewRating"": {""@type"": ""Rating"",""ratingValue"": ""4.75"",""bestRating"": ""5""},""author"": {""@type"": ""Person"",""name"": ""Eddie Rodriguez""}},""aggregateRating"": {""@type"": ""AggregateRating"",""ratingValue"": ""4.75"",""reviewCount"": ""101""},""offers"": {""@type"": ""Offer"", ""url"": ""arraywithproducturlkey"", ""priceCurrency"": ""USD"", ""price"": ""arraywithpricekey"", ""priceValidUntil"": ""01-01-2050"", ""itemCondition"": ""https://schema.org/NewCondition"", ""availability"": ""https://schema.org/InStock"",""seller"": {""@type"": ""Organization"",""name"": """"}}}</script>"
56,GMC,2500,1998,Turquoise,"<script type=""application/ld+json"">{""@context"": ""https://schema.org/"",""@type"": ""Product"", ""name"": """", ""image"": [""arraywithimagekey""],""description"": ""arraywithdescriptonkey"", ""sku"": ""arraywithskukey"", ""mpn"": ""arraywithmpnkey"", ""brand"": { ""@type"": ""Thing"", ""name"": ""arraywiththingkey"" }, ""review"": { ""@type"": ""Review"", ""reviewRating"": {""@type"": ""Rating"",""ratingValue"": ""4.17"",""bestRating"": ""5""},""author"": {""@type"": ""Person"",""name"": ""Eddie Rodriguez""}},""aggregateRating"": {""@type"": ""AggregateRating"",""ratingValue"": ""4.17"",""reviewCount"": ""225""},""offers"": {""@type"": ""Offer"", ""url"": ""arraywithproducturlkey"", ""priceCurrency"": ""USD"", ""price"": ""arraywithpricekey"", ""priceValidUntil"": ""01-01-2050"", ""itemCondition"": ""https://schema.org/NewCondition"", ""availability"": ""https://schema.org/InStock"",""seller"": {""@type"": ""Organization"",""name"": """"}}}</script>"
57,Chrysler,"Fifth Ave",1992,Crimson,"<script type=""application/ld+json"">{""@context"": ""https://schema.org/"",""@type"": ""Product"", ""name"": """", ""image"": [""arraywithimagekey""],""description"": ""arraywithdescriptonkey"", ""sku"": ""arraywithskukey"", ""mpn"": ""arraywithmpnkey"", ""brand"": { ""@type"": ""Thing"", ""name"": ""arraywiththingkey"" }, ""review"": { ""@type"": ""Review"", ""reviewRating"": {""@type"": ""Rating"",""ratingValue"": ""4.3"",""bestRating"": ""5""},""author"": {""@type"": ""Person"",""name"": ""Eddie Rodriguez""}},""aggregateRating"": {""@type"": ""AggregateRating"",""ratingValue"": ""4.3"",""reviewCount"": ""172""},""offers"": {""@type"": ""Offer"", ""url"": ""arraywithproducturlkey"", ""priceCurrency"": ""USD"", ""price"": ""arraywithpricekey"", ""priceValidUntil"": ""01-01-2050"", ""itemCondition"": ""https://schema.org/NewCondition"", ""availability"": ""https://schema.org/InStock"",""seller"": {""@type"": ""Organization"",""name"": """"}}}</script>"
58,Porsche,Cayenne,2011,Maroon,"<script type=""application/ld+json"">{""@context"": ""https://schema.org/"",""@type"": ""Product"", ""name"": """", ""image"": [""arraywithimagekey""],""description"": ""arraywithdescriptonkey"", ""sku"": ""arraywithskukey"", ""mpn"": ""arraywithmpnkey"", ""brand"": { ""@type"": ""Thing"", ""name"": ""arraywiththingkey"" }, ""review"": { ""@type"": ""Review"", ""reviewRating"": {""@type"": ""Rating"",""ratingValue"": ""4.74"",""bestRating"": ""5""},""author"": {""@type"": ""Person"",""name"": ""Eddie Rodriguez""}},""aggregateRating"": {""@type"": ""AggregateRating"",""ratingValue"": ""4.74"",""reviewCount"": ""104""},""offers"": {""@type"": ""Offer"", ""url"": ""arraywithproducturlkey"", ""priceCurrency"": ""USD"", ""price"": ""arraywithpricekey"", ""priceValidUntil"": ""01-01-2050"", ""itemCondition"": ""https://schema.org/NewCondition"", ""availability"": ""https://schema.org/InStock"",""seller"": {""@type"": ""Organization"",""name"": """"}}}</script>"
59,Chevrolet,Impala,2001,Yellow,"<script type=""application/ld+json"">{""@context"": ""https://schema.org/"",""@type"": ""Product"", ""name"": """", ""image"": [""arraywithimagekey""],""description"": ""arraywithdescriptonkey"", ""sku"": ""arraywithskukey"", ""mpn"": ""arraywithmpnkey"", ""brand"": { ""@type"": ""Thing"", ""name"": ""arraywiththingkey"" }, ""review"": { ""@type"": ""Review"", ""reviewRating"": {""@type"": ""Rating"",""ratingValue"": ""4.65"",""bestRating"": ""5""},""author"": {""@type"": ""Person"",""name"": ""Eddie Rodriguez""}},""aggregateRating"": {""@type"": ""AggregateRating"",""ratingValue"": ""4.65"",""reviewCount"": ""103""},""offers"": {""@type"": ""Offer"", ""url"": ""arraywithproducturlkey"", ""priceCurrency"": ""USD"", ""price"": ""arraywithpricekey"", ""priceValidUntil"": ""01-01-2050"", ""itemCondition"": ""https://schema.org/NewCondition"", ""availability"": ""https://schema.org/InStock"",""seller"": {""@type"": ""Organization"",""name"": """"}}}</script>"
60,GMC,Envoy,2009,Maroon,"<script type=""application/ld+json"">{""@context"": ""https://schema.org/"",""@type"": ""Product"", ""name"": """", ""image"": [""arraywithimagekey""],""description"": ""arraywithdescriptonkey"", ""sku"": ""arraywithskukey"", ""mpn"": ""arraywithmpnkey"", ""brand"": { ""@type"": ""Thing"", ""name"": ""arraywiththingkey"" }, ""review"": { ""@type"": ""Review"", ""reviewRating"": {""@type"": ""Rating"",""ratingValue"": ""4.99"",""bestRating"": ""5""},""author"": {""@type"": ""Person"",""name"": ""Eddie Rodriguez""}},""aggregateRating"": {""@type"": ""AggregateRating"",""ratingValue"": ""4.99"",""reviewCount"": ""66""},""offers"": {""@type"": ""Offer"", ""url"": ""arraywithproducturlkey"", ""priceCurrency"": ""USD"", ""price"": ""arraywithpricekey"", ""priceValidUntil"": ""01-01-2050"", ""itemCondition"": ""https://schema.org/NewCondition"", ""availability"": ""https://schema.org/InStock"",""seller"": {""@type"": ""Organization"",""name"": """"}}}</script>"
61,Hummer,H2,2003,Yellow,"<script type=""application/ld+json"">{""@context"": ""https://schema.org/"",""@type"": ""Product"", ""name"": """", ""image"": [""arraywithimagekey""],""description"": ""arraywithdescriptonkey"", ""sku"": ""arraywithskukey"", ""mpn"": ""arraywithmpnkey"", ""brand"": { ""@type"": ""Thing"", ""name"": ""arraywiththingkey"" }, ""review"": { ""@type"": ""Review"", ""reviewRating"": {""@type"": ""Rating"",""ratingValue"": ""4.85"",""bestRating"": ""5""},""author"": {""@type"": ""Person"",""name"": ""Eddie Rodriguez""}},""aggregateRating"": {""@type"": ""AggregateRating"",""ratingValue"": ""4.85"",""reviewCount"": ""56""},""offers"": {""@type"": ""Offer"", ""url"": ""arraywithproducturlkey"", ""priceCurrency"": ""USD"", ""price"": ""arraywithpricekey"", ""priceValidUntil"": ""01-01-2050"", ""itemCondition"": ""https://schema.org/NewCondition"", ""availability"": ""https://schema.org/InStock"",""seller"": {""@type"": ""Organization"",""name"": """"}}}</script>"
62,Subaru,Impreza,1993,Pink,"<script type=""application/ld+json"">{""@context"": ""https://schema.org/"",""@type"": ""Product"", ""name"": """", ""image"": [""arraywithimagekey""],""description"": ""arraywithdescriptonkey"", ""sku"": ""arraywithskukey"", ""mpn"": ""arraywithmpnkey"", ""brand"": { ""@type"": ""Thing"", ""name"": ""arraywiththingkey"" }, ""review"": { ""@type"": ""Review"", ""reviewRating"": {""@type"": ""Rating"",""ratingValue"": ""4.92"",""bestRating"": ""5""},""author"": {""@type"": ""Person"",""name"": ""Eddie Rodriguez""}},""aggregateRating"": {""@type"": ""AggregateRating"",""ratingValue"": ""4.92"",""reviewCount"": ""133""},""offers"": {""@type"": ""Offer"", ""url"": ""arraywithproducturlkey"", ""priceCurrency"": ""USD"", ""price"": ""arraywithpricekey"", ""priceValidUntil"": ""01-01-2050"", ""itemCondition"": ""https://schema.org/NewCondition"", ""availability"": ""https://schema.org/InStock"",""seller"": {""@type"": ""Organization"",""name"": """"}}}</script>"
63,Pontiac,"Montana SV6",2005,Blue,"<script type=""application/ld+json"">{""@context"": ""https://schema.org/"",""@type"": ""Product"", ""name"": """", ""image"": [""arraywithimagekey""],""description"": ""arraywithdescriptonkey"", ""sku"": ""arraywithskukey"", ""mpn"": ""arraywithmpnkey"", ""brand"": { ""@type"": ""Thing"", ""name"": ""arraywiththingkey"" }, ""review"": { ""@type"": ""Review"", ""reviewRating"": {""@type"": ""Rating"",""ratingValue"": ""4.46"",""bestRating"": ""5""},""author"": {""@type"": ""Person"",""name"": ""Eddie Rodriguez""}},""aggregateRating"": {""@type"": ""AggregateRating"",""ratingValue"": ""4.46"",""reviewCount"": ""245""},""offers"": {""@type"": ""Offer"", ""url"": ""arraywithproducturlkey"", ""priceCurrency"": ""USD"", ""price"": ""arraywithpricekey"", ""priceValidUntil"": ""01-01-2050"", ""itemCondition"": ""https://schema.org/NewCondition"", ""availability"": ""https://schema.org/InStock"",""seller"": {""@type"": ""Organization"",""name"": """"}}}</script>"
64,Volvo,S60,2012,Pink,"<script type=""application/ld+json"">{""@context"": ""https://schema.org/"",""@type"": ""Product"", ""name"": """", ""image"": [""arraywithimagekey""],""description"": ""arraywithdescriptonkey"", ""sku"": ""arraywithskukey"", ""mpn"": ""arraywithmpnkey"", ""brand"": { ""@type"": ""Thing"", ""name"": ""arraywiththingkey"" }, ""review"": { ""@type"": ""Review"", ""reviewRating"": {""@type"": ""Rating"",""ratingValue"": ""4.47"",""bestRating"": ""5""},""author"": {""@type"": ""Person"",""name"": ""Eddie Rodriguez""}},""aggregateRating"": {""@type"": ""AggregateRating"",""ratingValue"": ""4.47"",""reviewCount"": ""177""},""offers"": {""@type"": ""Offer"", ""url"": ""arraywithproducturlkey"", ""priceCurrency"": ""USD"", ""price"": ""arraywithpricekey"", ""priceValidUntil"": ""01-01-2050"", ""itemCondition"": ""https://schema.org/NewCondition"", ""availability"": ""https://schema.org/InStock"",""seller"": {""@type"": ""Organization"",""name"": """"}}}</script>"
65,Mitsubishi,Diamante,2002,Red,"<script type=""application/ld+json"">{""@context"": ""https://schema.org/"",""@type"": ""Product"", ""name"": """", ""image"": [""arraywithimagekey""],""description"": ""arraywithdescriptonkey"", ""sku"": ""arraywithskukey"", ""mpn"": ""arraywithmpnkey"", ""brand"": { ""@type"": ""Thing"", ""name"": ""arraywiththingkey"" }, ""review"": { ""@type"": ""Review"", ""reviewRating"": {""@type"": ""Rating"",""ratingValue"": ""4.04"",""bestRating"": ""5""},""author"": {""@type"": ""Person"",""name"": ""Eddie Rodriguez""}},""aggregateRating"": {""@type"": ""AggregateRating"",""ratingValue"": ""4.04"",""reviewCount"": ""79""},""offers"": {""@type"": ""Offer"", ""url"": ""arraywithproducturlkey"", ""priceCurrency"": ""USD"", ""price"": ""arraywithpricekey"", ""priceValidUntil"": ""01-01-2050"", ""itemCondition"": ""https://schema.org/NewCondition"", ""availability"": ""https://schema.org/InStock"",""seller"": {""@type"": ""Organization"",""name"": """"}}}</script>"
66,Honda,Passport,1997,Green,"<script type=""application/ld+json"">{""@context"": ""https://schema.org/"",""@type"": ""Product"", ""name"": """", ""image"": [""arraywithimagekey""],""description"": ""arraywithdescriptonkey"", ""sku"": ""arraywithskukey"", ""mpn"": ""arraywithmpnkey"", ""brand"": { ""@type"": ""Thing"", ""name"": ""arraywiththingkey"" }, ""review"": { ""@type"": ""Review"", ""reviewRating"": {""@type"": ""Rating"",""ratingValue"": ""4.17"",""bestRating"": ""5""},""author"": {""@type"": ""Person"",""name"": ""Eddie Rodriguez""}},""aggregateRating"": {""@type"": ""AggregateRating"",""ratingValue"": ""4.17"",""reviewCount"": ""161""},""offers"": {""@type"": ""Offer"", ""url"": ""arraywithproducturlkey"", ""priceCurrency"": ""USD"", ""price"": ""arraywithpricekey"", ""priceValidUntil"": ""01-01-2050"", ""itemCondition"": ""https://schema.org/NewCondition"", ""availability"": ""https://schema.org/InStock"",""seller"": {""@type"": ""Organization"",""name"": """"}}}</script>"
67,Volkswagen,GTI,2002,Mauv,"<script type=""application/ld+json"">{""@context"": ""https://schema.org/"",""@type"": ""Product"", ""name"": """", ""image"": [""arraywithimagekey""],""description"": ""arraywithdescriptonkey"", ""sku"": ""arraywithskukey"", ""mpn"": ""arraywithmpnkey"", ""brand"": { ""@type"": ""Thing"", ""name"": ""arraywiththingkey"" }, ""review"": { ""@type"": ""Review"", ""reviewRating"": {""@type"": ""Rating"",""ratingValue"": ""4.08"",""bestRating"": ""5""},""author"": {""@type"": ""Person"",""name"": ""Eddie Rodriguez""}},""aggregateRating"": {""@type"": ""AggregateRating"",""ratingValue"": ""4.08"",""reviewCount"": ""144""},""offers"": {""@type"": ""Offer"", ""url"": ""arraywithproducturlkey"", ""priceCurrency"": ""USD"", ""price"": ""arraywithpricekey"", ""priceValidUntil"": ""01-01-2050"", ""itemCondition"": ""https://schema.org/NewCondition"", ""availability"": ""https://schema.org/InStock"",""seller"": {""@type"": ""Organization"",""name"": """"}}}</script>"
68,BMW,M3,2005,Fuscia,"<script type=""application/ld+json"">{""@context"": ""https://schema.org/"",""@type"": ""Product"", ""name"": """", ""image"": [""arraywithimagekey""],""description"": ""arraywithdescriptonkey"", ""sku"": ""arraywithskukey"", ""mpn"": ""arraywithmpnkey"", ""brand"": { ""@type"": ""Thing"", ""name"": ""arraywiththingkey"" }, ""review"": { ""@type"": ""Review"", ""reviewRating"": {""@type"": ""Rating"",""ratingValue"": ""4.8"",""bestRating"": ""5""},""author"": {""@type"": ""Person"",""name"": ""Eddie Rodriguez""}},""aggregateRating"": {""@type"": ""AggregateRating"",""ratingValue"": ""4.8"",""reviewCount"": ""143""},""offers"": {""@type"": ""Offer"", ""url"": ""arraywithproducturlkey"", ""priceCurrency"": ""USD"", ""price"": ""arraywithpricekey"", ""priceValidUntil"": ""01-01-2050"", ""itemCondition"": ""https://schema.org/NewCondition"", ""availability"": ""https://schema.org/InStock"",""seller"": {""@type"": ""Organization"",""name"": """"}}}</script>"
69,Hummer,H1,1998,Green,"<script type=""application/ld+json"">{""@context"": ""https://schema.org/"",""@type"": ""Product"", ""name"": """", ""image"": [""arraywithimagekey""],""description"": ""arraywithdescriptonkey"", ""sku"": ""arraywithskukey"", ""mpn"": ""arraywithmpnkey"", ""brand"": { ""@type"": ""Thing"", ""name"": ""arraywiththingkey"" }, ""review"": { ""@type"": ""Review"", ""reviewRating"": {""@type"": ""Rating"",""ratingValue"": ""4.64"",""bestRating"": ""5""},""author"": {""@type"": ""Person"",""name"": ""Eddie Rodriguez""}},""aggregateRating"": {""@type"": ""AggregateRating"",""ratingValue"": ""4.64"",""reviewCount"": ""129""},""offers"": {""@type"": ""Offer"", ""url"": ""arraywithproducturlkey"", ""priceCurrency"": ""USD"", ""price"": ""arraywithpricekey"", ""priceValidUntil"": ""01-01-2050"", ""itemCondition"": ""https://schema.org/NewCondition"", ""availability"": ""https://schema.org/InStock"",""seller"": {""@type"": ""Organization"",""name"": """"}}}</script>"
70,Acura,SLX,1997,Puce,"<script type=""application/ld+json"">{""@context"": ""https://schema.org/"",""@type"": ""Product"", ""name"": """", ""image"": [""arraywithimagekey""],""description"": ""arraywithdescriptonkey"", ""sku"": ""arraywithskukey"", ""mpn"": ""arraywithmpnkey"", ""brand"": { ""@type"": ""Thing"", ""name"": ""arraywiththingkey"" }, ""review"": { ""@type"": ""Review"", ""reviewRating"": {""@type"": ""Rating"",""ratingValue"": ""4.65"",""bestRating"": ""5""},""author"": {""@type"": ""Person"",""name"": ""Eddie Rodriguez""}},""aggregateRating"": {""@type"": ""AggregateRating"",""ratingValue"": ""4.65"",""reviewCount"": ""139""},""offers"": {""@type"": ""Offer"", ""url"": ""arraywithproducturlkey"", ""priceCurrency"": ""USD"", ""price"": ""arraywithpricekey"", ""priceValidUntil"": ""01-01-2050"", ""itemCondition"": ""https://schema.org/NewCondition"", ""availability"": ""https://schema.org/InStock"",""seller"": {""@type"": ""Organization"",""name"": """"}}}</script>"
71,Dodge,"Dakota Club",1994,Mauv,"<script type=""application/ld+json"">{""@context"": ""https://schema.org/"",""@type"": ""Product"", ""name"": """", ""image"": [""arraywithimagekey""],""description"": ""arraywithdescriptonkey"", ""sku"": ""arraywithskukey"", ""mpn"": ""arraywithmpnkey"", ""brand"": { ""@type"": ""Thing"", ""name"": ""arraywiththingkey"" }, ""review"": { ""@type"": ""Review"", ""reviewRating"": {""@type"": ""Rating"",""ratingValue"": ""4.11"",""bestRating"": ""5""},""author"": {""@type"": ""Person"",""name"": ""Eddie Rodriguez""}},""aggregateRating"": {""@type"": ""AggregateRating"",""ratingValue"": ""4.11"",""reviewCount"": ""133""},""offers"": {""@type"": ""Offer"", ""url"": ""arraywithproducturlkey"", ""priceCurrency"": ""USD"", ""price"": ""arraywithpricekey"", ""priceValidUntil"": ""01-01-2050"", ""itemCondition"": ""https://schema.org/NewCondition"", ""availability"": ""https://schema.org/InStock"",""seller"": {""@type"": ""Organization"",""name"": """"}}}</script>"
72,Suzuki,SJ,1993,Aquamarine,"<script type=""application/ld+json"">{""@context"": ""https://schema.org/"",""@type"": ""Product"", ""name"": """", ""image"": [""arraywithimagekey""],""description"": ""arraywithdescriptonkey"", ""sku"": ""arraywithskukey"", ""mpn"": ""arraywithmpnkey"", ""brand"": { ""@type"": ""Thing"", ""name"": ""arraywiththingkey"" }, ""review"": { ""@type"": ""Review"", ""reviewRating"": {""@type"": ""Rating"",""ratingValue"": ""4.14"",""bestRating"": ""5""},""author"": {""@type"": ""Person"",""name"": ""Eddie Rodriguez""}},""aggregateRating"": {""@type"": ""AggregateRating"",""ratingValue"": ""4.14"",""reviewCount"": ""134""},""offers"": {""@type"": ""Offer"", ""url"": ""arraywithproducturlkey"", ""priceCurrency"": ""USD"", ""price"": ""arraywithpricekey"", ""priceValidUntil"": ""01-01-2050"", ""itemCondition"": ""https://schema.org/NewCondition"", ""availability"": ""https://schema.org/InStock"",""seller"": {""@type"": ""Organization"",""name"": """"}}}</script>"
73,GMC,2500,1992,Indigo,"<script type=""application/ld+json"">{""@context"": ""https://schema.org/"",""@type"": ""Product"", ""name"": """", ""image"": [""arraywithimagekey""],""description"": ""arraywithdescriptonkey"", ""sku"": ""arraywithskukey"", ""mpn"": ""arraywithmpnkey"", ""brand"": { ""@type"": ""Thing"", ""name"": ""arraywiththingkey"" }, ""review"": { ""@type"": ""Review"", ""reviewRating"": {""@type"": ""Rating"",""ratingValue"": ""4.12"",""bestRating"": ""5""},""author"": {""@type"": ""Person"",""name"": ""Eddie Rodriguez""}},""aggregateRating"": {""@type"": ""AggregateRating"",""ratingValue"": ""4.12"",""reviewCount"": ""53""},""offers"": {""@type"": ""Offer"", ""url"": ""arraywithproducturlkey"", ""priceCurrency"": ""USD"", ""price"": ""arraywithpricekey"", ""priceValidUntil"": ""01-01-2050"", ""itemCondition"": ""https://schema.org/NewCondition"", ""availability"": ""https://schema.org/InStock"",""seller"": {""@type"": ""Organization"",""name"": """"}}}</script>"
74,Mercedes-Benz,500SEL,1993,Khaki,"<script type=""application/ld+json"">{""@context"": ""https://schema.org/"",""@type"": ""Product"", ""name"": """", ""image"": [""arraywithimagekey""],""description"": ""arraywithdescriptonkey"", ""sku"": ""arraywithskukey"", ""mpn"": ""arraywithmpnkey"", ""brand"": { ""@type"": ""Thing"", ""name"": ""arraywiththingkey"" }, ""review"": { ""@type"": ""Review"", ""reviewRating"": {""@type"": ""Rating"",""ratingValue"": ""4.03"",""bestRating"": ""5""},""author"": {""@type"": ""Person"",""name"": ""Eddie Rodriguez""}},""aggregateRating"": {""@type"": ""AggregateRating"",""ratingValue"": ""4.03"",""reviewCount"": ""131""},""offers"": {""@type"": ""Offer"", ""url"": ""arraywithproducturlkey"", ""priceCurrency"": ""USD"", ""price"": ""arraywithpricekey"", ""priceValidUntil"": ""01-01-2050"", ""itemCondition"": ""https://schema.org/NewCondition"", ""availability"": ""https://schema.org/InStock"",""seller"": {""@type"": ""Organization"",""name"": """"}}}</script>"
75,Toyota,Yaris,2007,Turquoise,"<script type=""application/ld+json"">{""@context"": ""https://schema.org/"",""@type"": ""Product"", ""name"": """", ""image"": [""arraywithimagekey""],""description"": ""arraywithdescriptonkey"", ""sku"": ""arraywithskukey"", ""mpn"": ""arraywithmpnkey"", ""brand"": { ""@type"": ""Thing"", ""name"": ""arraywiththingkey"" }, ""review"": { ""@type"": ""Review"", ""reviewRating"": {""@type"": ""Rating"",""ratingValue"": ""4.82"",""bestRating"": ""5""},""author"": {""@type"": ""Person"",""name"": ""Eddie Rodriguez""}},""aggregateRating"": {""@type"": ""AggregateRating"",""ratingValue"": ""4.82"",""reviewCount"": ""223""},""offers"": {""@type"": ""Offer"", ""url"": ""arraywithproducturlkey"", ""priceCurrency"": ""USD"", ""price"": ""arraywithpricekey"", ""priceValidUntil"": ""01-01-2050"", ""itemCondition"": ""https://schema.org/NewCondition"", ""availability"": ""https://schema.org/InStock"",""seller"": {""@type"": ""Organization"",""name"": """"}}}</script>"
76,Jaguar,XJ,2011,Purple,"<script type=""application/ld+json"">{""@context"": ""https://schema.org/"",""@type"": ""Product"", ""name"": """", ""image"": [""arraywithimagekey""],""description"": ""arraywithdescriptonkey"", ""sku"": ""arraywithskukey"", ""mpn"": ""arraywithmpnkey"", ""brand"": { ""@type"": ""Thing"", ""name"": ""arraywiththingkey"" }, ""review"": { ""@type"": ""Review"", ""reviewRating"": {""@type"": ""Rating"",""ratingValue"": ""4.45"",""bestRating"": ""5""},""author"": {""@type"": ""Person"",""name"": ""Eddie Rodriguez""}},""aggregateRating"": {""@type"": ""AggregateRating"",""ratingValue"": ""4.45"",""reviewCount"": ""73""},""offers"": {""@type"": ""Offer"", ""url"": ""arraywithproducturlkey"", ""priceCurrency"": ""USD"", ""price"": ""arraywithpricekey"", ""priceValidUntil"": ""01-01-2050"", ""itemCondition"": ""https://schema.org/NewCondition"", ""availability"": ""https://schema.org/InStock"",""seller"": {""@type"": ""Organization"",""name"": """"}}}</script>"
77,Dodge,Nitro,2007,Orange,"<script type=""application/ld+json"">{""@context"": ""https://schema.org/"",""@type"": ""Product"", ""name"": """", ""image"": [""arraywithimagekey""],""description"": ""arraywithdescriptonkey"", ""sku"": ""arraywithskukey"", ""mpn"": ""arraywithmpnkey"", ""brand"": { ""@type"": ""Thing"", ""name"": ""arraywiththingkey"" }, ""review"": { ""@type"": ""Review"", ""reviewRating"": {""@type"": ""Rating"",""ratingValue"": ""4.14"",""bestRating"": ""5""},""author"": {""@type"": ""Person"",""name"": ""Eddie Rodriguez""}},""aggregateRating"": {""@type"": ""AggregateRating"",""ratingValue"": ""4.14"",""reviewCount"": ""164""},""offers"": {""@type"": ""Offer"", ""url"": ""arraywithproducturlkey"", ""priceCurrency"": ""USD"", ""price"": ""arraywithpricekey"", ""priceValidUntil"": ""01-01-2050"", ""itemCondition"": ""https://schema.org/NewCondition"", ""availability"": ""https://schema.org/InStock"",""seller"": {""@type"": ""Organization"",""name"": """"}}}</script>"
78,Chevrolet,Cobalt,2008,Teal,"<script type=""application/ld+json"">{""@context"": ""https://schema.org/"",""@type"": ""Product"", ""name"": """", ""image"": [""arraywithimagekey""],""description"": ""arraywithdescriptonkey"", ""sku"": ""arraywithskukey"", ""mpn"": ""arraywithmpnkey"", ""brand"": { ""@type"": ""Thing"", ""name"": ""arraywiththingkey"" }, ""review"": { ""@type"": ""Review"", ""reviewRating"": {""@type"": ""Rating"",""ratingValue"": ""4.85"",""bestRating"": ""5""},""author"": {""@type"": ""Person"",""name"": ""Eddie Rodriguez""}},""aggregateRating"": {""@type"": ""AggregateRating"",""ratingValue"": ""4.85"",""reviewCount"": ""210""},""offers"": {""@type"": ""Offer"", ""url"": ""arraywithproducturlkey"", ""priceCurrency"": ""USD"", ""price"": ""arraywithpricekey"", ""priceValidUntil"": ""01-01-2050"", ""itemCondition"": ""https://schema.org/NewCondition"", ""availability"": ""https://schema.org/InStock"",""seller"": {""@type"": ""Organization"",""name"": """"}}}</script>"
79,Ford,EXP,1986,Goldenrod,"<script type=""application/ld+json"">{""@context"": ""https://schema.org/"",""@type"": ""Product"", ""name"": """", ""image"": [""arraywithimagekey""],""description"": ""arraywithdescriptonkey"", ""sku"": ""arraywithskukey"", ""mpn"": ""arraywithmpnkey"", ""brand"": { ""@type"": ""Thing"", ""name"": ""arraywiththingkey"" }, ""review"": { ""@type"": ""Review"", ""reviewRating"": {""@type"": ""Rating"",""ratingValue"": ""4.25"",""bestRating"": ""5""},""author"": {""@type"": ""Person"",""name"": ""Eddie Rodriguez""}},""aggregateRating"": {""@type"": ""AggregateRating"",""ratingValue"": ""4.25"",""reviewCount"": ""120""},""offers"": {""@type"": ""Offer"", ""url"": ""arraywithproducturlkey"", ""priceCurrency"": ""USD"", ""price"": ""arraywithpricekey"", ""priceValidUntil"": ""01-01-2050"", ""itemCondition"": ""https://schema.org/NewCondition"", ""availability"": ""https://schema.org/InStock"",""seller"": {""@type"": ""Organization"",""name"": """"}}}</script>"
80,Mercedes-Benz,300SE,1992,Fuscia,"<script type=""application/ld+json"">{""@context"": ""https://schema.org/"",""@type"": ""Product"", ""name"": """", ""image"": [""arraywithimagekey""],""description"": ""arraywithdescriptonkey"", ""sku"": ""arraywithskukey"", ""mpn"": ""arraywithmpnkey"", ""brand"": { ""@type"": ""Thing"", ""name"": ""arraywiththingkey"" }, ""review"": { ""@type"": ""Review"", ""reviewRating"": {""@type"": ""Rating"",""ratingValue"": ""4.59"",""bestRating"": ""5""},""author"": {""@type"": ""Person"",""name"": ""Eddie Rodriguez""}},""aggregateRating"": {""@type"": ""AggregateRating"",""ratingValue"": ""4.59"",""reviewCount"": ""144""},""offers"": {""@type"": ""Offer"", ""url"": ""arraywithproducturlkey"", ""priceCurrency"": ""USD"", ""price"": ""arraywithpricekey"", ""priceValidUntil"": ""01-01-2050"", ""itemCondition"": ""https://schema.org/NewCondition"", ""availability"": ""https://schema.org/InStock"",""seller"": {""@type"": ""Organization"",""name"": """"}}}</script>"
81,Cadillac,Seville,1993,Pink,"<script type=""application/ld+json"">{""@context"": ""https://schema.org/"",""@type"": ""Product"", ""name"": """", ""image"": [""arraywithimagekey""],""description"": ""arraywithdescriptonkey"", ""sku"": ""arraywithskukey"", ""mpn"": ""arraywithmpnkey"", ""brand"": { ""@type"": ""Thing"", ""name"": ""arraywiththingkey"" }, ""review"": { ""@type"": ""Review"", ""reviewRating"": {""@type"": ""Rating"",""ratingValue"": ""4.62"",""bestRating"": ""5""},""author"": {""@type"": ""Person"",""name"": ""Eddie Rodriguez""}},""aggregateRating"": {""@type"": ""AggregateRating"",""ratingValue"": ""4.62"",""reviewCount"": ""206""},""offers"": {""@type"": ""Offer"", ""url"": ""arraywithproducturlkey"", ""priceCurrency"": ""USD"", ""price"": ""arraywithpricekey"", ""priceValidUntil"": ""01-01-2050"", ""itemCondition"": ""https://schema.org/NewCondition"", ""availability"": ""https://schema.org/InStock"",""seller"": {""@type"": ""Organization"",""name"": """"}}}</script>"
