id,brand,model,year,color
689,Jeep,Cherokee,1995,Orange
690,Ford,Focus,2003,Maroon
691,Pontiac,LeMans,1967,Teal
692,Saab,9-5,2006,Khaki
693,Volkswagen,Jetta,2001,Puce
694,Pontiac,Aztek,2002,Purple
695,Honda,Pilot,2002,Crimson
696,Chrysler,PT Cruiser,2005,Teal
697,Chevrolet,Lumina,1992,Puce
698,Mitsubishi,3000GT,1999,Teal
699,Chevrolet,Monte Carlo,1998,Goldenrod
700,BMW,X5,2003,Aquamarine
701,Ford,Escape,2011,Turquoise
702,Maserati,Quattroporte,1984,Orange
703,Ford,Focus,2004,Violet
704,Audi,S4,2013,Goldenrod
705,Suzuki,SJ,1987,Blue
706,Nissan,Quest,2006,Green
707,Cadillac,DeVille,1993,Red
708,Mitsubishi,Pajero,1995,Crimson
709,Kia,Rio,2003,Aquamarine
710,Lotus,Esprit,1985,Khaki
711,Maybach,57,2008,Mauv
712,Toyota,Yaris,2011,Orange
713,Maserati,GranTurismo,2009,Violet
714,Chevrolet,Silverado 2500,2006,Green
715,Chevrolet,Express 1500,2012,Aquamarine
716,Dodge,Ram Van 3500,1995,Mauv
717,Chevrolet,Corvette,2007,Crimson
718,Chevrolet,Malibu,2012,Puce
719,Mazda,MX-5,1990,Orange
720,Pontiac,Grand Am,1991,Orange
721,Land Rover,Defender 110,1993,Teal
722,Lincoln,Town Car,2001,Red
723,Chevrolet,Astro,1999,Green
724,Pontiac,Sunfire,1998,Maroon
725,Chevrolet,Silverado,2001,Blue
726,Mercury,Mountaineer,2007,Puce
727,Oldsmobile,98,1994,Maroon
728,Plymouth,Colt,1993,Orange
729,Ford,Escort,1990,Goldenrod
730,Mazda,B-Series Plus,1998,Puce
731,Acura,RL,1997,Green
732,Maserati,228,1990,Goldenrod
733,Ford,F250,2002,Maroon
734,Toyota,Solara,2003,Blue
735,Maserati,Gran Sport,2006,Puce
736,Dodge,Ram Van 2500,2002,Crimson
737,Oldsmobile,Silhouette,2004,Turquoise
738,Hyundai,Accent,2003,Goldenrod
739,Mercedes-Benz,R-Class,2008,Pink
740,Audi,A6,1999,Yellow
741,GMC,Envoy,2004,Maroon
742,Ford,Crown Victoria,2007,Indigo
743,Suzuki,Vitara,2003,Green
744,Lexus,GX,2007,Aquamarine
745,Ford,Econoline E250,1992,Orange
746,Dodge,Stratus,2001,Violet
747,Toyota,Celica,1999,Purple
748,Mazda,B-Series Plus,1997,Violet
749,Mitsubishi,i-MiEV,2012,Green
750,Chevrolet,2500,1992,Aquamarine
751,Chevrolet,3500,2000,Crimson
752,Volkswagen,CC,2013,Aquamarine
753,Jaguar,XF,2009,Blue
754,Mazda,B2500,2001,Crimson
755,Chevrolet,Silverado 2500,2010,Indigo
756,GMC,Canyon,2004,Mauv
757,Ford,Mustang,1996,Pink
758,Ford,Econoline E350,2002,Violet
759,Nissan,350Z,2005,Maroon
760,Pontiac,Turbo Firefly,1988,Green
761,Hyundai,Santa Fe,2003,Green
762,Pontiac,Grand Prix,1980,Yellow
763,Ford,ZX2,2003,Mauv
764,Dodge,Ram 2500,1999,Red
765,Honda,Odyssey,2006,Pink
766,Volkswagen,Jetta,2008,Turquoise
767,Suzuki,Equator,2009,Teal
768,Ford,Th!nk,2001,Green
769,Dodge,Ram Van 1500,2001,Crimson
770,Mercedes-Benz,CLK-Class,2004,Goldenrod
771,Mazda,MX-5,1999,Crimson
772,Corbin,Sparrow,1999,Violet
773,Suzuki,X-90,1998,Indigo
774,Volkswagen,rio,1995,Indigo
775,Toyota,Corolla,2004,Turquoise
776,Lincoln,Blackwood,2003,Orange
777,Acura,TL,2003,Indigo
778,Ford,Windstar,2002,Indigo
779,Dodge,Charger,1970,Turquoise
780,Hummer,H1,1998,Turquoise
781,Mitsubishi,Starion,1984,Yellow
782,Chevrolet,Corvette,1973,Teal
783,Lexus,IS,2011,Crimson
784,Hyundai,Accent,1998,Teal
785,Buick,Skylark,1993,Green
786,Dodge,Stratus,2006,Indigo
787,Scion,xB,2010,Indigo
788,Toyota,Tacoma,2010,Blue
789,MINI,Clubman,2011,Indigo
790,Audi,TT,2003,Khaki
791,Suzuki,Grand Vitara,2005,Goldenrod
792,Toyota,Celica,2002,Indigo
793,Volkswagen,Passat,2004,Pink
794,Dodge,Magnum,2008,Purple
795,Volvo,960,1994,Yellow
796,Hyundai,Elantra,2006,Orange
797,Ford,F-Series,2010,Goldenrod
798,MINI,Cooper,2011,Indigo
799,Oldsmobile,Cutlass,1998,Blue
800,MINI,Cooper,2003,Maroon
801,Audi,S8,2007,Khaki
802,Chevrolet,Corvette,1968,Red
803,Dodge,Ram 2500,1995,Crimson
804,Chevrolet,Lumina,1994,Teal
805,Suzuki,SJ 410,1984,Blue
806,Ford,Ranger,2008,Fuscia
807,Mitsubishi,Endeavor,2006,Khaki
808,Buick,Park Avenue,2001,Blue
809,Saab,900,1989,Goldenrod
810,GMC,Vandura 1500,1994,Maroon
811,Lotus,Elan,1993,Khaki
812,Mazda,Protege5,2002,Green
813,Chrysler,Concorde,2001,Maroon
814,Nissan,Altima,2007,Pink
815,Jeep,Cherokee,2001,Crimson
816,Honda,Accord,1994,Khaki
817,Buick,Riviera,1985,Puce
818,Saab,9-5,2003,Turquoise
819,Suzuki,Grand Vitara,2012,Blue
820,Buick,Riviera,1995,Yellow
821,Saturn,VUE,2002,Red
822,Ford,Thunderbird,1967,Crimson
823,Morgan,Aero 8,2008,Indigo
824,Ford,Windstar,1998,Blue
825,Subaru,SVX,1995,Blue
826,Audi,A8,1997,Puce
827,Volkswagen,Jetta,1988,Crimson
828,Ford,Econoline E150,1998,Yellow
829,Jeep,Liberty,2011,Yellow
830,Pontiac,Grand Prix,1992,Blue
831,Toyota,Camry Hybrid,2011,Puce
832,Aston Martin,Rapide,2012,Khaki
833,Audi,100,1993,Maroon
834,BMW,Z3,1998,Purple
835,Mitsubishi,Expo,1992,Yellow
836,Kia,Sportage,2011,Orange
837,Eagle,Talon,1996,Blue
838,Mitsubishi,GTO,1996,Crimson
839,Mercedes-Benz,M-Class,2007,Yellow
840,Hyundai,Veracruz,2008,Khaki
841,Infiniti,JX,2013,Indigo
842,Ford,F350,2012,Goldenrod
843,Chevrolet,Silverado 3500,2006,Crimson
844,Hyundai,Elantra,1998,Puce
845,Ford,Escort,1991,Purple
846,Chevrolet,Camaro,1998,Puce
847,Chevrolet,Suburban 2500,2005,Maroon
848,Audi,A8,2006,Pink
849,Acura,Vigor,1993,Maroon
850,Infiniti,QX,2007,Fuscia
851,Nissan,Rogue,2012,Mauv
852,Scion,tC,2007,Purple
853,Chrysler,LeBaron,1993,Fuscia
854,Chevrolet,Malibu,2003,Teal
855,Dodge,Magnum,2005,Teal
856,Chevrolet,Corvette,2000,Crimson
857,Dodge,Ram 1500 Club,1995,Aquamarine
858,Pontiac,GTO,1974,Violet
859,Lamborghini,Murciélago LP640,2008,Orange
860,Ford,F150,2001,Mauv
861,Jaguar,S-Type,2006,Fuscia
862,Buick,Electra,1986,Maroon
863,Mazda,Miata MX-5,2008,Green
864,Chrysler,Pacifica,2006,Teal
865,Chevrolet,Cavalier,2002,Yellow
866,Toyota,Supra,1998,Aquamarine
867,Maybach,62,2007,Goldenrod
868,Chevrolet,Monte Carlo,2007,Khaki
869,Chevrolet,Silverado 3500,2004,Khaki
870,Jaguar,XJ Series,2001,Green
871,Oldsmobile,Achieva,1993,Purple
872,Chevrolet,Sportvan G20,1993,Orange
873,GMC,Sierra 1500,2006,Turquoise
874,Toyota,Avalon,1996,Goldenrod
875,Dodge,Ram Van 2500,2000,Goldenrod
876,Volkswagen,Golf,1995,Teal
877,Volkswagen,Jetta III,1993,Teal
878,Chevrolet,Traverse,2012,Teal
879,Toyota,Avalon,1997,Indigo
880,Bentley,Arnage,2007,Red
881,Audi,A4,2010,Violet
882,Citroën,SM,1972,Indigo
883,Mercury,Mariner,2009,Orange
884,Dodge,Ram 3500 Club,1995,Fuscia
885,Ford,Expedition EL,2010,Teal
886,Mercedes-Benz,W201,1989,Mauv
887,Mercury,Milan,2010,Violet
888,Plymouth,Breeze,1997,Mauv
889,Toyota,Camry,1996,Teal
890,Ford,F350,2005,Yellow
891,Pontiac,Firebird,1988,Indigo
892,Mitsubishi,Endeavor,2004,Maroon
893,Toyota,Solara,2007,Indigo
894,Toyota,Tundra,2004,Puce
895,Ford,Mustang,1983,Teal
896,Eagle,Talon,1998,Crimson
897,Ford,Ranger,1988,Red
898,Dodge,Sprinter,2009,Aquamarine
899,Volvo,V50,2011,Green
900,BMW,3 Series,1997,Goldenrod
901,Nissan,Maxima,1997,Mauv
902,Chevrolet,Express 1500,2005,Violet
903,Kia,Forte,2011,Fuscia
904,Eagle,Vision,1996,Pink
905,Ford,Mustang,1985,Teal
906,Cadillac,XLR,2005,Indigo
907,Subaru,Forester,2007,Yellow
908,BMW,X6 M,2011,Fuscia
909,Ford,Explorer,1993,Teal
910,Chevrolet,G-Series 3500,1997,Goldenrod
911,Saturn,Relay,2007,Khaki
912,Hyundai,Tiburon,2004,Yellow
913,BMW,X5,2011,Teal
914,Honda,Prelude,1993,Pink
915,Buick,Coachbuilder,1995,Blue
916,Subaru,SVX,1993,Violet
917,BMW,M3,2003,Orange
918,Volkswagen,Eurovan,2003,Red
919,Audi,90,1990,Crimson
920,Bentley,Arnage,2007,Khaki
921,Jeep,Cherokee,1993,Pink
922,Hyundai,Tucson,2005,Crimson
923,Hyundai,Elantra,1999,Indigo
924,Ford,Explorer,2006,Green
925,Ford,E350,2005,Turquoise
926,Mazda,RX-7,1992,Violet
927,Lotus,Exige,2005,Green
928,Chevrolet,Sportvan G30,1994,Maroon
929,Pontiac,Grand Prix,1972,Goldenrod
930,Dodge,Intrepid,2003,Yellow
931,Mercedes-Benz,Sprinter 3500,2012,Blue
932,Saab,9-3,2005,Green
933,Chevrolet,Cavalier,1998,Crimson
934,Dodge,Intrepid,1998,Blue
935,Audi,S6,2003,Puce
936,Volkswagen,Touareg 2,2008,Violet
937,Morgan,Aero 8,2009,Teal
938,Dodge,Caliber,2009,Turquoise
939,Volvo,V50,2006,Blue
940,Dodge,Avenger,2012,Turquoise
941,Chevrolet,Tahoe,2006,Khaki
942,Subaru,Impreza,1996,Puce
943,Toyota,Highlander,2011,Crimson
944,Honda,Passport,1994,Fuscia
945,Chevrolet,Express 1500,2003,Aquamarine
946,Honda,Civic,2010,Blue
947,Chevrolet,S10,1992,Indigo
948,GMC,Canyon,2007,Puce
949,Infiniti,G,2005,Violet
950,Porsche,Cayenne,2006,Maroon
951,Saturn,VUE,2005,Khaki
952,Ford,Ranger,2003,Orange
953,Chevrolet,Sportvan G20,1992,Turquoise
954,Nissan,Armada,2008,Green
955,Ford,Taurus,1993,Crimson
956,Chrysler,New Yorker,1995,Khaki
957,Oldsmobile,Silhouette,2002,Fuscia
958,Honda,S2000,2001,Violet
959,Chevrolet,Tahoe,2004,Red
960,Lincoln,Continental,1991,Blue
961,Ford,F350,1996,Mauv
962,Pontiac,Vibe,2009,Blue
963,Porsche,911,2007,Khaki
964,Isuzu,Ascender,2005,Khaki
965,Toyota,Celica,1976,Yellow
966,Porsche,Boxster,1998,Red
967,Toyota,Tacoma Xtra,2001,Purple
968,Pontiac,Sunbird,1985,Red
969,Lincoln,LS,2002,Fuscia
970,Kia,Amanti,2007,Fuscia
971,Honda,CR-Z,2012,Mauv
972,Land Rover,Discovery Series II,2000,Blue
973,Mazda,626,1999,Turquoise
974,GMC,Savana 1500,1998,Green
975,Honda,Element,2004,Red
976,Lotus,Evora,2010,Yellow
977,Hyundai,Scoupe,1993,Orange
978,Lexus,IS F,2010,Goldenrod
979,Chevrolet,Venture,2002,Turquoise
980,Pontiac,Bonneville,1964,Khaki
981,GMC,Safari,1995,Maroon
982,Toyota,Land Cruiser,2011,Khaki
983,Jaguar,XJ,2012,Khaki
984,Pontiac,Montana,2001,Puce
985,Lexus,GS,2007,Purple
986,Pontiac,Sunfire,2004,Blue
987,Pontiac,6000,1988,Green
988,Lotus,Elise,2011,Fuscia
989,Suzuki,SJ,1994,Indigo
990,Maybach,Landaulet,2010,Teal
991,Mitsubishi,Endeavor,2011,Turquoise
992,Mitsubishi,Endeavor,2005,Maroon
993,Subaru,Forester,2002,Puce
994,Nissan,Pathfinder Armada,2004,Yellow
995,Volkswagen,Cabriolet,1990,Teal
996,Mitsubishi,Diamante,1993,Khaki
997,Mazda,MX-5,2011,Aquamarine
998,Subaru,Forester,2012,Turquoise
999,Lexus,IS F,2008,Indigo
1000,Isuzu,Oasis,1997,Maroon
